2017/04/08/tormlb-tbamlb-1,21838,tor,tba,"Tropicana Field",1491693000,R,F,1
2017/04/08/wasmlb-phimlb-1,37241,was,phi,"Citizens Bank Park",1491696360,R,F,1
2017/04/09/atlmlb-pitmlb-1,22713,atl,pit,"PNC Park",1491762900,R,F,1
2017/04/09/bosmlb-detmlb-1,33662,bos,det,"Comerica Park",1491761400,R,F,0
2017/04/09/chnmlb-milmlb-1,38483,chn,mil,"Miller Park",1491761400,R,F,0
2017/04/09/cinmlb-slnmlb-1,45200,cin,sln,"Busch Stadium",1491761700,R,F,0
2017/04/09/clemlb-arimlb-1,30191,cle,ari,"Chase Field",1491761400,R,F,1
2017/04/09/kcamlb-houmlb-1,32411,kca,hou,"Minute Maid Park",1491761460,R,F,1
2017/04/09/lanmlb-colmlb-1,33529,lan,col,"Coors Field",1491761520,R,F,0
2017/04/09/miamlb-nynmlb-1,27420,mia,nyn,"Citi Field",1491786600,R,F,1
2017/04/09/minmlb-chamlb-1,24074,min,cha,"Guaranteed Rate Field",1491761400,R,F,0
2017/04/09/nyamlb-balmlb-1,42487,nya,bal,"Oriole Park at Camden Yards",1491763080,R,F,0
2017/04/09/oakmlb-texmlb-1,36905,oak,tex,"Globe Life Park in Arlington",1491764820,R,F,1
2017/04/09/seamlb-anamlb-1,37175,sea,ana,"Angel Stadium of Anaheim",1491759480,R,F,1
2017/04/09/sfnmlb-sdnmlb-1,40537,sfn,sdn,"Petco Park",1491763260,R,F,0
2017/04/09/tormlb-tbamlb-1,15341,tor,tba,"Tropicana Field",1491761460,R,F,1
2017/04/09/wasmlb-phimlb-1,36917,was,phi,"Citizens Bank Park",1491763080,R,F,1
2017/04/10/arimlb-sfnmlb-1,42129,ari,sfn,"AT&T Park",1491849540,R,F,1
2017/04/10/bosmlb-detmlb-1,24672,bos,det,"Comerica Park",1491849960,R,F,1
2017/04/10/cinmlb-pitmlb-1,28264,cin,pit,"PNC Park",1491869280,R,F,0
2017/04/10/houmlb-seamlb-1,44856,hou,sea,"Safeco Field",1491851460,R,F,1
2017/04/10/lanmlb-chnmlb-1,41166,lan,chn,"Wrigley Field",1491876060,R,F,1
2017/04/10/nynmlb-phimlb-1,33359,nyn,phi,"Citizens Bank Park",1491869160,R,F,0
2017/04/10/oakmlb-kcamlb-1,40019,oak,kca,"Kauffman Stadium",1491855420,R,F,0
2017/04/10/sdnmlb-colmlb-1,20504,sdn,col,"Coors Field",1491867720,R,F,0
2017/04/10/slnmlb-wasmlb-1,27413,sln,was,"Nationals Park",1491869100,R,F,1
2017/04/10/tbamlb-nyamlb-1,46955,tba,nya,"Yankee Stadium",1491847920,R,F,1
2017/04/11/arimlb-sfnmlb-1,41562,ari,sfn,"AT&T Park",1491956100,R,F,0
2017/04/11/atlmlb-miamlb-1,36519,atl,mia,"Marlins Park",1491957420,R,F,1
2017/04/11/balmlb-bosmlb-1,37497,bal,bos,"Fenway Park",1491955800,R,F,1
2017/04/11/chamlb-clemlb-1,35002,cha,cle,"Progressive Field",1491945060,R,F,1
2017/04/11/cinmlb-pitmlb-1,11027,cin,pit,"PNC Park",1491959940,R,F,0
2017/04/11/houmlb-seamlb-1,18527,hou,sea,"Safeco Field",1491955800,R,F,0
2017/04/11/milmlb-tormlb-1,48456,mil,tor,"Rogers Centre",1491956880,R,F,0
2017/04/11/minmlb-detmlb-1,21237,min,det,"Comerica Park",1491934200,R,F,1
2017/04/11/nynmlb-phimlb-1,28659,nyn,phi,"Citizens Bank Park",1491955620,R,F,0
2017/04/11/sdnmlb-colmlb-1,20664,sdn,col,"Coors Field",1491954120,R,F,1
2017/04/11/slnmlb-wasmlb-1,30663,sln,was,"Nationals Park",1491955680,R,F,1
2017/04/11/texmlb-anamlb-1,34044,tex,ana,"Angel Stadium of Anaheim",1491955680,R,F,1
2017/04/12/arimlb-sfnmlb-1,41656,ari,sfn,"AT&T Park",1492042560,R,F,1
2017/04/12/atlmlb-miamlb-1,16808,atl,mia,"Marlins Park",1492042260,R,F,0
2017/04/12/balmlb-bosmlb-1,32211,bal,bos,"Fenway Park",1492042200,R,F,0
2017/04/12/chamlb-clemlb-1,15628,cha,cle,"Progressive Field",1492038540,R,F,0
2017/04/12/cinmlb-pitmlb-1,12327,cin,pit,"PNC Park",1492041960,R,F,0
2017/04/12/houmlb-seamlb-1,14479,hou,sea,"Safeco Field",1492042200,R,F,0
2017/04/12/lanmlb-chnmlb-1,40844,lan,chn,"Wrigley Field",1492042440,R,F,0
2017/04/12/milmlb-tormlb-1,29919,mil,tor,"Rogers Centre",1492042140,R,F,0
2017/04/12/minmlb-detmlb-1,23738,min,det,"Comerica Park",1492020600,R,F,1
2017/04/12/nynmlb-phimlb-1,28272,nyn,phi,"Citizens Bank Park",1492041960,R,F,0
